Effective.date,S.P.500,Narcissus.Core.Equity.Sustainability.Fund..NAV.in...,Pietro.Advisory.Sustainable.Large.Cap.ETF..NAV.in...,Dow.Jones.U.S..Large.Cap.Total.Stock.Market.Index,S.P.500.Energy..Sector.,S.P.500.Utilities..Sector.,Effective.date,S.P.500.Communication.Services..Sector.,S.P.500.Consumer.Discretionary..Sector.,S.P.500.Consumer.Staples..Sector.,S.P.500.Financials..Sector.,S.P.500.Health.Care..Sector.,S.P.500.Industrials..Sector.,S.P.500.Information.Technology..Sector.,S.P.500.Materials..Sector.,S.P.500.Real.Estate..Sector.
2/11/2020,3310.24,73.34,103.85,7860.64,224.77,323.99,2/11/2020,196.72,1175.56,649.88,403.78,1205.91,658.54,1955.34,410.34,216.82
1/12/2020,3662.45,75.95,114.81,8749.02,275.62,320.1,1/12/2020,219.53,1283.97,692.41,469.71,1286.61,740.02,2198.66,449.96,228.68
4/1/2021,3700.65,75.04,116.01,8872.02,286.5,310.76,4/1/2021,218.58,1287.85,688.69,483.8,1316.89,730.44,2250.17,451.04,220.4
1/2/2021,3773.86,78.38,118.33,9067.79,298.58,317.53,1/2/2021,222.62,1343.85,659.37,486.35,1345.17,723.93,2326.07,450.01,234.17
1/3/2021,3901.82,82.41,122.22,9382.82,369.47,301.74,1/3/2021,237.54,1322.61,655.71,552.37,1327.31,783.76,2366.28,472.82,232.62
1/4/2021,4019.87,86.59,125.8,9611.79,379.71,325.2,1/4/2021,244.2,1354.13,697.77,572.97,1357.4,835.29,2380.03,499.3,250.9
3/5/2021,4192.66,87.56,131.16,10014.95,382.43,338.87,3/5/2021,256.55,1426.4,720.05,605.19,1429.43,870.4,2447.34,529,265.78
1/6/2021,4202.04,89.61,131.3,10026.23,405.14,327.53,1/6/2021,257.89,1377.6,723.31,634.27,1413.81,890.2,2416.65,554.93,274.54
1/7/2021,4319.94,92.96,135.05,10331.66,414.36,325.22,1/7/2021,266.68,1438.01,719.58,615.32,1482.54,871.58,2597.15,519.88,278.28
2/8/2021,4387.16,96,137.29,10488.86,370.33,337.62,2/8/2021,272.78,1442.73,736.57,606.39,1541.2,867.26,2683.64,521.16,290.06
